,rank,name,net_worth,bday,age,nationality,day-bday,month_bday,year_bday,billion
32,33,John Mars,$42 Billion,15-Oct-35,86,United States of America,15,Oct,35,42.0
75,76,John Menard,$20 Billion,22-Jan-40,82,United States of America,22,Jan,40,20.0
24,25,Michael Dell,$52 Billion,23-Feb-65,57,United States of America,23,Feb,65,52.0
93,94,Donald Bren,$17 Billion,11-May-32,90,United States of America,11,May,32,17.0
90,91,Lukas Walton,$18 Billion,19-Sep-86,36,United States of America,19,Sep,86,18.0
66,67,James Simons,$22 Billion,25-Apr-38,84,United States of America,25,Apr,38,22.0
33,34,Jacqueline Mars,$42 Billion,10-Oct-39,82,United States of America,10,Oct,39,42.0
34,35,Phil Knight,$40 Billion,24-Feb-38,84,United States of America,24,Feb,38,40.0
36,37,Stephen Schwarzman,$35 Billion,14-Feb-47,75,United States of America,14,Feb,47,35.0
85,86,Laurene Powell Jobs,$19 Billion,6-Nov-63,58,United States of America,6,Nov,63,19.0
78,79,Dan Gilbert,$20 Billion,17-Jan-62,60,United States of America,17,Jan,62,20.0
22,23,Julia Flesher Koch,$62 Billion,12-Apr-62,60,United States of America,12,Apr,62,62.0
49,50,Ken Griffin,$28 Billion,15-Oct-68,53,United States of America,15,Oct,68,28.0
50,51,Abigail Johnson,$28 Billion,19-Dec-61,60,United States of America,19,Dec,61,28.0
1,2,Jeff Bezos,$150 Billion,12-Jan-64,58,United States of America,12,Jan,64,150.0
76,77,Elaine Marshall,$20 Billion,18-Nov-45,76,United States of America,18,Nov,45,20.0
70,71,Leonard Lauder,$21 Billion,19-Mar-33,89,United States of America,19,Mar,33,21.0
58,59,Carl Icahn,$24 Billion,16-Feb-36,86,United States of America,16,Feb,36,24.0
60,61,Pierre Omidyar,$24 Billion,21-Jun-67,55,United States of America,21,Jun,67,24.0
61,62,Forrest Mars Jr,$23.4 Billion,16-Aug-31,91,United States of America,16,Aug,31,23.4
23,24,Charles Koch,$60 Billion,1-Nov-35,86,United States of America,1,Nov,35,60.0
63,64,Eric Schmidt,$23 Billion,27-Apr-55,67,United States of America,27,Apr,55,23.0
21,22,Alice Walton,$66 Billion,7-Oct-49,72,United States of America,7,Oct,49,66.0
6,7,Larry Page,$100 Billion,26-Mar-73,49,United States of America,26,Mar,73,100.0
94,95,Thomas Peterffy,$17 Billion,30-Sep-44,77,United States of America,30,Sep,44,17.0
